a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_pm7VR_phys,pm7VR,44,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm7VR,2.68895,1
ow_e2DL_phys,e2DL,8,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||e2DL,2.58269,144
ow_mu_bod_VL1_phys,mu_bod_VL1,66,ow_pm2VL_phys,pm2VL,14,mu_bod_VL1||pm2VL,2.43129,13
ow_mu_bod_VL1_phys,mu_bod_VL1,66,ow_e1VL_phys,e1VL,36,e1VL||mu_bod_VL1,2.40252,11
ow_mu_bod_VL18_phys,mu_bod_VL18,47,ow_vm1L_Post_phys,vm1L_Post,226,mu_bod_VL18||vm1L_Post,2.32535,1
ow_mu_bod_VL9_phys,mu_bod_VL9,62,ow_mu_bod_VL12_phys,mu_bod_VL12,50,mu_bod_VL12||mu_bod_VL9,2.16002,2
ow_mu_bod_VL1_phys,mu_bod_VL1,66,ow_e3VL_phys,e3VL,35,e3VL||mu_bod_VL1,2.15788,14
ow_mu_bod_DL6_phys,mu_bod_DL6,119,ow_mu_bod_DL8_phys,mu_bod_DL8,118,mu_bod_DL6||mu_bod_DL8,2.15413,1
ow_vm2L_Ant_phys,vm2L_Ant,231,ow_vulB2_phys,vulB2,222,vm2L_Ant||vulB2,2.13326,2
ow_Rachis_A_phys,Rachis_A,199,ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,207,Gonadal_Sheath_A1R||Rachis_A,2.10427,78
ow_mu_bod_VL1_phys,mu_bod_VL1,66,ow_e2DL_phys,e2DL,8,e2DL||mu_bod_VL1,2.07492,11
ow_Rachis_P_phys,Rachis_P,198,ow_Gonadal_Sheath_P1L_phys,Gonadal_Sheath_P1L,194,Gonadal_Sheath_P1L||Rachis_P,2.06433,52
ow_Phar_Gland_g1_R_phys,Phar_Gland_g1_R,0,ow_pm5VR_phys,pm5VR,32,Phar_Gland_g1_R||pm5VR,2.05217,438
ow_Gonadal_Sheath_P5V_phys,Gonadal_Sheath_P5V,248,ow_Oocyte_Post_1_phys,Oocyte_Post_1,256,Gonadal_Sheath_P5V||Oocyte_Post_1,2.02137,69
ow_Oocyte_Post_1_phys,Oocyte_Post_1,256,ow_Gonadal_Sheath_P5D_phys,Gonadal_Sheath_P5D,190,Gonadal_Sheath_P5D||Oocyte_Post_1,1.93872,563
ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,ow_pm5VL_phys,pm5VL,29,Phar_Gland_g1_L||pm5VL,1.93342,209
ow_vm2L_Ant_phys,vm2L_Ant,231,ow_um2L_Ant_phys,um2L_Ant,215,um2L_Ant||vm2L_Ant,1.93187,6
ow_vpi3_D_phys,vpi3_D,284,ow_int1DL_phys,int1DL,268,int1DL||vpi3_D,1.90136,224
ow_pm2VR_phys,pm2VR,13,ow_e2V_phys,e2V,11,e2V||pm2VR,1.85419,19
ow_ut1_Ant_phys,ut1_Ant,241,ow_uv1_Ant_phys,uv1_Ant,237,ut1_Ant||uv1_Ant,1.82357,1
ow_pm6VR_phys,pm6VR,28,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm6VR,1.80575,1
ow_pm2VR_phys,pm2VR,13,ow_e1VR_phys,e1VR,5,e1VR||pm2VR,1.79707,113
ow_pm3VR_phys,pm3VR,43,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||pm3VR,1.78964,25
ow_um1R_Post_phys,um1R_Post,213,ow_vm2R_Post_phys,vm2R_Post,230,um1R_Post||vm2R_Post,1.78222,8
ow_pm4D_phys,pm4D,34,ow_pm5VL_phys,pm5VL,29,pm4D||pm5VL,1.76108,2
ow_Excretory_Pore_Cell_phys,Excretory_Pore_Cell,296,ow_Excretory_Gland_Cell_phys,Excretory_Gland_Cell,297,Excretory_Gland_Cell||Excretory_Pore_Cell,1.7383,1
ow_ut1_Post_phys,ut1_Post,240,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||ut1_Post,1.73603,12
ow_pm2VR_phys,pm2VR,13,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||pm2VR,1.73562,6
ow_mu_bod_DR7_phys,mu_bod_DR7,103,ow_int1DR_phys,int1DR,292,int1DR||mu_bod_DR7,1.72932,107
ow_vm2L_Ant_phys,vm2L_Ant,231,ow_vulC_phys,vulC,223,vm2L_Ant||vulC,1.68718,2
ow_pm3VL_phys,pm3VL,40,ow_pm1_phys,pm1,12,pm1||pm3VL,1.68303,40
ow_pm5VL_phys,pm5VL,29,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||pm5VL,1.68257,3
ow_uv3_Post_phys,uv3_Post,234,ow_vm1R_Post_phys,vm1R_Post,225,uv3_Post||vm1R_Post,1.67799,1
ow_mu_bod_DR9_phys,mu_bod_DR9,104,ow_int1DR_phys,int1DR,292,int1DR||mu_bod_DR9,1.67488,20
ow_pm2VR_phys,pm2VR,13,ow_e3VR_phys,e3VR,6,e3VR||pm2VR,1.67001,38
ow_vpi3_V_phys,vpi3_V,283,ow_int1VL_phys,int1VL,279,int1VL||vpi3_V,1.66321,111
ow_vulE_phys,vulE,228,ow_uv2_Post_phys,uv2_Post,232,uv2_Post||vulE,1.65161,4
ow_mu_bod_DR17_phys,mu_bod_DR17,108,ow_int5R_phys,int5R,282,int5R||mu_bod_DR17,1.64304,22
ow_ut1_Ant_phys,ut1_Ant,241,ow_uv2_Ant_phys,uv2_Ant,236,ut1_Ant||uv2_Ant,1.62847,1
ow_pm3VR_phys,pm3VR,43,ow_e3VR_phys,e3VR,6,e3VR||pm3VR,1.62307,4
ow_Oocyte_Post_5_phys,Oocyte_Post_5,252,ow_Gonadal_Sheath_P4D_phys,Gonadal_Sheath_P4D,191,Gonadal_Sheath_P4D||Oocyte_Post_5,1.61531,163
ow_mc2DR_phys,mc2DR,18,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mc2DR,1.60548,19
ow_vpi3_D_phys,vpi3_D,284,ow_int1DR_phys,int1DR,292,int1DR||vpi3_D,1.59066,41
ow_ut4_Post_phys,ut4_Post,244,ow_mu_bod_VR17_phys,mu_bod_VR17,80,mu_bod_VR17||ut4_Post,1.57752,189
ow_Gonadal_Sheath_A1L_phys,Gonadal_Sheath_A1L,197,ow_Rachis_A_phys,Rachis_A,199,Gonadal_Sheath_A1L||Rachis_A,1.56583,110
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_mc3DR_phys,mc3DR,16,Phar_Gland_Dorsal_g2||mc3DR,1.55013,103
ow_mc1DR_phys,mc1DR,20,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mc1DR,1.5423,88
ow_ut4_Post_phys,ut4_Post,244,ow_int6R_phys,int6R,281,int6R||ut4_Post,1.53838,109
ow_um2L_Post_phys,um2L_Post,214,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||um2L_Post,1.53476,156
ow_Gonadal_Sheath_P1L_phys,Gonadal_Sheath_P1L,194,ow_mu_bod_DR24_phys,mu_bod_DR24,136,Gonadal_Sheath_P1L||mu_bod_DR24,1.53372,37
ow_mu_bod_VR22_phys,mu_bod_VR22,67,ow_mu_bod_VR24_phys,mu_bod_VR24,139,mu_bod_VR22||mu_bod_VR24,1.52338,9
ow_mu_anal_phys,mu_anal,302,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mu_anal,1.50804,1
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_mc3DL_phys,mc3DL,27,Phar_Gland_Dorsal_g2||mc3DL,1.50289,39
ow_Oocyte_Post_1_phys,Oocyte_Post_1,256,ow_Gonadal_Sheath_P5V_phys,Gonadal_Sheath_P5V,248,Gonadal_Sheath_P5V||Oocyte_Post_1,1.50021,231
ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,203,ow_mu_bod_DR24_phys,mu_bod_DR24,136,Gonadal_Sheath_P1R||mu_bod_DR24,1.49971,66
ow_ut3_Post_phys,ut3_Post,238,ow_mu_bod_VR17_phys,mu_bod_VR17,80,mu_bod_VR17||ut3_Post,1.49811,92
ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,203,ow_mu_bod_DR22_phys,mu_bod_DR22,90,Gonadal_Sheath_P1R||mu_bod_DR22,1.49087,12
ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,207,ow_Rachis_A_phys,Rachis_A,199,Gonadal_Sheath_A1R||Rachis_A,1.4637,31
ow_mu_bod_DR15_phys,mu_bod_DR15,109,ow_int5R_phys,int5R,282,int5R||mu_bod_DR15,1.46091,76
ow_um1L_Ant_phys,um1L_Ant,212,ow_vulB2_phys,vulB2,222,um1L_Ant||vulB2,1.44837,1
ow_mc1V_phys,mc1V,19,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||mc1V,1.4428,13
ow_Gonadal_Sheath_A2L_phys,Gonadal_Sheath_A2L,196,ow_Rachis_A_phys,Rachis_A,199,Gonadal_Sheath_A2L||Rachis_A,1.43603,58
ow_Gonadal_Sheath_P1L_phys,Gonadal_Sheath_P1L,194,ow_Rachis_P_phys,Rachis_P,198,Gonadal_Sheath_P1L||Rachis_P,1.43312,31
ow_int5R_phys,int5R,282,ow_mu_bod_DR17_phys,mu_bod_DR17,108,int5R||mu_bod_DR17,1.39305,8
ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,203,ow_mu_bod_DR23_phys,mu_bod_DR23,89,Gonadal_Sheath_P1R||mu_bod_DR23,1.37874,24
ow_pm5VL_phys,pm5VL,29,ow_mc2DL_phys,mc2DL,31,mc2DL||pm5VL,1.36705,6
ow_pm3VR_phys,pm3VR,43,ow_e2V_phys,e2V,11,e2V||pm3VR,1.34507,12
ow_int1DR_phys,int1DR,292,ow_mu_bod_DR7_phys,mu_bod_DR7,103,int1DR||mu_bod_DR7,1.32859,11
ow_Excretory_Cell_phys,Excretory_Cell,298,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||Excretory_Cell,1.32244,2
ow_uv2_Ant_phys,uv2_Ant,236,ow_uv1_Ant_phys,uv1_Ant,237,uv1_Ant||uv2_Ant,1.32204,34
ow_vm2R_Post_phys,vm2R_Post,230,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||vm2R_Post,1.3203,179
ow_um2R_Post_phys,um2R_Post,219,ow_mu_bod_VR15_phys,mu_bod_VR15,81,mu_bod_VR15||um2R_Post,1.31427,70
ow_Gonadal_Sheath_A4D_phys,Gonadal_Sheath_A4D,189,ow_Oocyte_Ant_5_phys,Oocyte_Ant_5,262,Gonadal_Sheath_A4D||Oocyte_Ant_5,1.29683,69
ow_mu_bod_VL18_phys,mu_bod_VL18,47,ow_ut1_Post_phys,ut1_Post,240,mu_bod_VL18||ut1_Post,1.2912,61
ow_mu_bod_VL18_phys,mu_bod_VL18,47,ow_ut2_Post_phys,ut2_Post,239,mu_bod_VL18||ut2_Post,1.29023,105
ow_pm3D_phys,pm3D,41,ow_e3D_phys,e3D,9,e3D||pm3D,1.28969,9
ow_Sp_Ut_Valve_Post_phys,Sp_Ut_Valve_Post,246,ow_mu_bod_VR17_phys,mu_bod_VR17,80,Sp_Ut_Valve_Post||mu_bod_VR17,1.26946,31
ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,ow_Excretory_Cell_phys,Excretory_Cell,298,Arcade_Cell_Ant||Excretory_Cell,1.26808,5
ow_Gonadal_Sheath_A4D_phys,Gonadal_Sheath_A4D,189,ow_Oocyte_Ant_6_phys,Oocyte_Ant_6,261,Gonadal_Sheath_A4D||Oocyte_Ant_6,1.26477,85
ow_mc3DR_phys,mc3DR,16,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mc3DR,1.26119,7
ow_vpi2_DL_phys,vpi2_DL,285,ow_int1DL_phys,int1DL,268,int1DL||vpi2_DL,1.25551,287
ow_uv1_Post_phys,uv1_Post,233,ow_mu_bod_VR15_phys,mu_bod_VR15,81,mu_bod_VR15||uv1_Post,1.25253,71
ow_ut1_Post_phys,ut1_Post,240,ow_int5L_phys,int5L,274,int5L||ut1_Post,1.252,18
ow_uv2_Post_phys,uv2_Post,232,ow_uv1_Post_phys,uv1_Post,233,uv1_Post||uv2_Post,1.25066,6
ow_um1R_Post_phys,um1R_Post,213,ow_mu_bod_VR15_phys,mu_bod_VR15,81,mu_bod_VR15||um1R_Post,1.24841,96
ow_vulE_phys,vulE,228,ow_mu_bod_VR15_phys,mu_bod_VR15,81,mu_bod_VR15||vulE,1.24652,68
ow_um1R_Ant_phys,um1R_Ant,218,ow_mu_bod_VR15_phys,mu_bod_VR15,81,mu_bod_VR15||um1R_Ant,1.23858,86
ow_mu_bod_VR18_phys,mu_bod_VR18,69,ow_ut1_Post_phys,ut1_Post,240,mu_bod_VR18||ut1_Post,1.23651,75
ow_ut2_Post_phys,ut2_Post,239,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||ut2_Post,1.22354,38
ow_mu_bod_VR17_phys,mu_bod_VR17,80,ow_ut3_Post_phys,ut3_Post,238,mu_bod_VR17||ut3_Post,1.21172,63
ow_int1DR_phys,int1DR,292,ow_mu_bod_DR9_phys,mu_bod_DR9,104,int1DR||mu_bod_DR9,1.2059,10
ow_vpi1_phys,vpi1,288,ow_vpi2_DL_phys,vpi2_DL,285,vpi1||vpi2_DL,1.20276,12
ow_Sp_Ut_Valve_Post_phys,Sp_Ut_Valve_Post,246,ow_int6R_phys,int6R,281,Sp_Ut_Valve_Post||int6R,1.19819,78
ow_mu_bod_VR18_phys,mu_bod_VR18,69,ow_ut2_Post_phys,ut2_Post,239,mu_bod_VR18||ut2_Post,1.19725,109
ow_ut1_Post_phys,ut1_Post,240,ow_int5R_phys,int5R,282,int5R||ut1_Post,1.19276,13
ow_vm2L_Post_phys,vm2L_Post,210,ow_mu_bod_VL18_phys,mu_bod_VL18,47,mu_bod_VL18||vm2L_Post,1.19272,154
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm1_phys,pm1,12,Phar_Gland_Dorsal_g2||pm1,1.18957,28
ow_mc3DR_phys,mc3DR,16,ow_pm7VR_phys,pm7VR,44,mc3DR||pm7VR,1.16379,7
ow_vulE_phys,vulE,228,ow_uv2_Ant_phys,uv2_Ant,236,uv2_Ant||vulE,1.16323,3
ow_mu_bod_VR9_phys,mu_bod_VR9,84,ow_mu_bod_VR10_phys,mu_bod_VR10,73,mu_bod_VR10||mu_bod_VR9,1.15545,1
ow_um1R_Ant_phys,um1R_Ant,218,ow_vulB2_phys,vulB2,222,um1R_Ant||vulB2,1.15036,27
ow_mu_bod_VL12_phys,mu_bod_VL12,50,ow_mu_bod_VR12_phys,mu_bod_VR12,72,mu_bod_VL12||mu_bod_VR12,1.14375,17
ow_Rachis_P_phys,Rachis_P,198,ow_mu_bod_DR24_phys,mu_bod_DR24,136,Rachis_P||mu_bod_DR24,1.13876,20
ow_Phar_Gland_g1_R_phys,Phar_Gland_g1_R,0,ow_mc3DR_phys,mc3DR,16,Phar_Gland_g1_R||mc3DR,1.13115,67
ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||Arcade_Cell_Post,1.12715,68
ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,ow_mc3DL_phys,mc3DL,27,Phar_Gland_g1_L||mc3DL,1.12401,103
ow_vpi3_V_phys,vpi3_V,283,ow_int1VR_phys,int1VR,278,int1VR||vpi3_V,1.11285,10
ow_vulF_phys,vulF,229,ow_uv1_Post_phys,uv1_Post,233,uv1_Post||vulF,1.10807,9
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm6D_phys,pm6D,26,Phar_Gland_Dorsal_g2||pm6D,1.10221,5
ow_pm3VL_phys,pm3VL,40,ow_e2DL_phys,e2DL,8,e2DL||pm3VL,1.09678,26
ow_pm7D_phys,pm7D,24,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm7D,1.091,7
ow_pm3VL_phys,pm3VL,40,ow_pm3D_phys,pm3D,41,pm3D||pm3VL,1.08849,3
ow_mu_bod_VR7_phys,mu_bod_VR7,85,ow_int1VR_phys,int1VR,278,int1VR||mu_bod_VR7,1.08764,152
ow_Phar_Gland_g2_VL_phys,Phar_Gland_g2_VL,38,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||Phar_Gland_g2_VL,1.08349,1
ow_Gonadal_Sheath_A4D_phys,Gonadal_Sheath_A4D,189,ow_Oocyte_Ant_4_phys,Oocyte_Ant_4,263,Gonadal_Sheath_A4D||Oocyte_Ant_4,1.07032,83
ow_ut3_Post_phys,ut3_Post,238,ow_int6L_phys,int6L,273,int6L||ut3_Post,1.06532,13
ow_int1VR_phys,int1VR,278,ow_mu_bod_VR7_phys,mu_bod_VR7,85,int1VR||mu_bod_VR7,1.06512,32
ow_mu_anal_phys,mu_anal,302,ow_mu_bod_DR23_phys,mu_bod_DR23,89,mu_anal||mu_bod_DR23,1.06188,44
ow_Gonadal_Sheath_A4D_phys,Gonadal_Sheath_A4D,189,ow_Gonadal_Sheath_A5D_phys,Gonadal_Sheath_A5D,188,Gonadal_Sheath_A4D||Gonadal_Sheath_A5D,1.06132,1
ow_mc1DR_phys,mc1DR,20,ow_pm5VR_phys,pm5VR,32,mc1DR||pm5VR,1.05676,1
ow_ut2_Post_phys,ut2_Post,239,ow_int5L_phys,int5L,274,int5L||ut2_Post,1.05538,16
ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,203,ow_mu_bod_DR21_phys,mu_bod_DR21,106,Gonadal_Sheath_P1R||mu_bod_DR21,1.04842,9
ow_vm1L_Post_phys,vm1L_Post,226,ow_um1L_Post_phys,um1L_Post,211,um1L_Post||vm1L_Post,1.04299,10
ow_vm2R_Ant_phys,vm2R_Ant,209,ow_mu_bod_VR16_phys,mu_bod_VR16,70,mu_bod_VR16||vm2R_Ant,1.04208,56
ow_uv1_Ant_phys,uv1_Ant,237,ow_mu_bod_VR15_phys,mu_bod_VR15,81,mu_bod_VR15||uv1_Ant,1.03625,93
ow_um2L_Post_phys,um2L_Post,214,ow_mu_bod_VL17_phys,mu_bod_VL17,58,mu_bod_VL17||um2L_Post,1.02255,6
ow_ut2_Post_phys,ut2_Post,239,ow_int5R_phys,int5R,282,int5R||ut2_Post,1.02248,24
ow_Gonadal_Sheath_A4V_phys,Gonadal_Sheath_A4V,204,ow_Oocyte_Ant_5_phys,Oocyte_Ant_5,262,Gonadal_Sheath_A4V||Oocyte_Ant_5,1.01938,47
ow_mu_bod_VL10_phys,mu_bod_VL10,51,ow_mu_bod_VR9_phys,mu_bod_VR9,84,mu_bod_VL10||mu_bod_VR9,1.01271,1
ow_mc3DR_phys,mc3DR,16,ow_vpi1_phys,vpi1,288,mc3DR||vpi1,1.00718,4
ow_uv1_Ant_phys,uv1_Ant,237,ow_vulC_phys,vulC,223,uv1_Ant||vulC,1.00687,1
ow_Gonadal_Sheath_A5V_phys,Gonadal_Sheath_A5V,267,ow_Oocyte_Ant_1_phys,Oocyte_Ant_1,266,Gonadal_Sheath_A5V||Oocyte_Ant_1,1.00339,3
ow_uv3_Post_phys,uv3_Post,234,ow_vm2L_Post_phys,vm2L_Post,210,uv3_Post||vm2L_Post,1.0026,1
ow_utse_phys,utse,243,ow_vulE_phys,vulE,228,utse||vulE,0.9939020000000001,2
ow_utse_phys,utse,243,ow_uv1_Post_phys,uv1_Post,233,utse||uv1_Post,0.993564,8
ow_e3VR_phys,e3VR,6,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||e3VR,0.9908830000000001,3
ow_pm4VL_phys,pm4VL,33,ow_mc1DL_phys,mc1DL,42,mc1DL||pm4VL,0.9848279999999999,12
ow_um1L_Post_phys,um1L_Post,211,ow_uv2_Post_phys,uv2_Post,232,um1L_Post||uv2_Post,0.984491,5
ow_e3D_phys,e3D,9,ow_e1D_phys,e1D,10,e1D||e3D,0.9799650000000001,17
ow_Gonadal_Sheath_A4V_phys,Gonadal_Sheath_A4V,204,ow_Oocyte_Ant_6_phys,Oocyte_Ant_6,261,Gonadal_Sheath_A4V||Oocyte_Ant_6,0.970979,44
ow_pm2VR_phys,pm2VR,13,ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,Arcade_Cell_Post||pm2VR,0.970855,9
ow_vpi2_V_phys,vpi2_V,286,ow_vpi3_V_phys,vpi3_V,283,vpi2_V||vpi3_V,0.966092,10
ow_ut4_Post_phys,ut4_Post,244,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||ut4_Post,0.964284,12
ow_pm7VR_phys,pm7VR,44,ow_vpi1_phys,vpi1,288,pm7VR||vpi1,0.963674,1
ow_ut1_Ant_phys,ut1_Ant,241,ow_ut1_Post_phys,ut1_Post,240,ut1_Ant||ut1_Post,0.955976,2
ow_Oocyte_Post_2_phys,Oocyte_Post_2,255,ow_Gonadal_Sheath_P5D_phys,Gonadal_Sheath_P5D,190,Gonadal_Sheath_P5D||Oocyte_Post_2,0.9553590000000001,365
ow_mu_bod_DR21_phys,mu_bod_DR21,106,ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,203,Gonadal_Sheath_P1R||mu_bod_DR21,0.9523809999999999,139
ow_Gonadal_Sheath_A5D_phys,Gonadal_Sheath_A5D,188,ow_Oocyte_Ant_1_phys,Oocyte_Ant_1,266,Gonadal_Sheath_A5D||Oocyte_Ant_1,0.9470270000000001,29
ow_ut2_Post_phys,ut2_Post,239,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||ut2_Post,0.9459310000000001,26
ow_um2R_Post_phys,um2R_Post,219,ow_int5R_phys,int5R,282,int5R||um2R_Post,0.945757,110
ow_mu_bod_DR24_phys,mu_bod_DR24,136,ow_Rachis_P_phys,Rachis_P,198,Rachis_P||mu_bod_DR24,0.939549,23
ow_mu_bod_DR13_phys,mu_bod_DR13,110,ow_int4D_phys,int4D,280,int4D||mu_bod_DR13,0.930133,53
ow_Oocyte_Ant_1_phys,Oocyte_Ant_1,266,ow_Gonadal_Sheath_A5D_phys,Gonadal_Sheath_A5D,188,Gonadal_Sheath_A5D||Oocyte_Ant_1,0.928928,196
ow_int6R_phys,int6R,281,ow_mu_bod_DR17_phys,mu_bod_DR17,108,int6R||mu_bod_DR17,0.928539,11
ow_int1DR_phys,int1DR,292,ow_vpi3_D_phys,vpi3_D,284,int1DR||vpi3_D,0.919466,96
ow_vpi2_DR_phys,vpi2_DR,287,ow_vpi3_D_phys,vpi3_D,284,vpi2_DR||vpi3_D,0.917413,6
ow_e3D_phys,e3D,9,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||e3D,0.916985,43
ow_Oocyte_Ant_1_phys,Oocyte_Ant_1,266,ow_Gonadal_Sheath_A5V_phys,Gonadal_Sheath_A5V,267,Gonadal_Sheath_A5V||Oocyte_Ant_1,0.916548,134
ow_Sp_bag_P_2V_phys,Sp_bag_P_2V,157,ow_mu_bod_VR20_phys,mu_bod_VR20,68,Sp_bag_P_2V||mu_bod_VR20,0.916418,1
ow_vm2L_Ant_phys,vm2L_Ant,231,ow_uv2_Ant_phys,uv2_Ant,236,uv2_Ant||vm2L_Ant,0.9148970000000001,14
ow_mu_bod_DL3_phys,mu_bod_DL3,127,ow_mu_bod_DL5_phys,mu_bod_DL5,128,mu_bod_DL3||mu_bod_DL5,0.9120199999999999,1
ow_Gonadal_Sheath_A5D_phys,Gonadal_Sheath_A5D,188,ow_int2V_phys,int2V,291,Gonadal_Sheath_A5D||int2V,0.9091180000000001,26
ow_pm3VL_phys,pm3VL,40,ow_pm2VL_phys,pm2VL,14,pm2VL||pm3VL,0.907848,37
ow_Anus_phys,Anus,269,ow_mu_anal_phys,mu_anal,302,Anus||mu_anal,0.906748,1
ow_vulF_phys,vulF,229,ow_vulD_phys,vulD,227,vulD||vulF,0.906178,1
ow_mu_bod_VL5_phys,mu_bod_VL5,64,ow_mu_bod_VL8_phys,mu_bod_VL8,52,mu_bod_VL5||mu_bod_VL8,0.9050069999999999,1
ow_vulD_phys,vulD,227,ow_um1L_Post_phys,um1L_Post,211,um1L_Post||vulD,0.901088,21
ow_Excretory_Cell_phys,Excretory_Cell,298,ow_e2DL_phys,e2DL,8,Excretory_Cell||e2DL,0.8966230000000001,9
ow_int5L_phys,int5L,274,ow_ut2_Post_phys,ut2_Post,239,int5L||ut2_Post,0.890969,13
ow_mc3DL_phys,mc3DL,27,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||mc3DL,0.888299,27
ow_um2L_Post_phys,um2L_Post,214,ow_int5L_phys,int5L,274,int5L||um2L_Post,0.887345,186
ow_mu_bod_DR17_phys,mu_bod_DR17,108,ow_int6R_phys,int6R,281,int6R||mu_bod_DR17,0.885556,12
ow_int1VR_phys,int1VR,278,ow_vpi3_V_phys,vpi3_V,283,int1VR||vpi3_V,0.883341,59
ow_int4D_phys,int4D,280,ow_mu_bod_DR13_phys,mu_bod_DR13,110,int4D||mu_bod_DR13,0.875764,6
ow_Gonadal_Sheath_P3L_phys,Gonadal_Sheath_P3L,192,ow_Oocyte_Post_6_phys,Oocyte_Post_6,251,Gonadal_Sheath_P3L||Oocyte_Post_6,0.8750439999999999,24
ow_vpi2_V_phys,vpi2_V,286,ow_int1VL_phys,int1VL,279,int1VL||vpi2_V,0.874211,67
ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,ow_pm1_phys,pm1,12,Arcade_Cell_Post||pm1,0.873428,9
ow_pm3D_phys,pm3D,41,ow_pm3VL_phys,pm3VL,40,pm3D||pm3VL,0.872425,1
ow_int1DL_phys,int1DL,268,ow_vpi3_D_phys,vpi3_D,284,int1DL||vpi3_D,0.867236,72
ow_Gonadal_Sheath_A5D_phys,Gonadal_Sheath_A5D,188,ow_Oocyte_Ant_3_phys,Oocyte_Ant_3,264,Gonadal_Sheath_A5D||Oocyte_Ant_3,0.86649,30
ow_mu_bod_DL14_phys,mu_bod_DL14,115,ow_mu_bod_DL16_phys,mu_bod_DL16,114,mu_bod_DL14||mu_bod_DL16,0.866438,1
ow_Excretory_Cell_phys,Excretory_Cell,298,ow_pm2VL_phys,pm2VL,14,Excretory_Cell||pm2VL,0.866332,1
ow_Gonadal_Sheath_P2L_phys,Gonadal_Sheath_P2L,193,ow_Gonadal_Sheath_P1L_phys,Gonadal_Sheath_P1L,194,Gonadal_Sheath_P1L||Gonadal_Sheath_P2L,0.865259,25
ow_mu_bod_VR17_phys,mu_bod_VR17,80,ow_Sp_Ut_Valve_Post_phys,Sp_Ut_Valve_Post,246,Sp_Ut_Valve_Post||mu_bod_VR17,0.863495,10
ow_pm3D_phys,pm3D,41,ow_e1D_phys,e1D,10,e1D||pm3D,0.863306,1
ow_pm4VR_phys,pm4VR,39,ow_mc1DR_phys,mc1DR,20,mc1DR||pm4VR,0.858322,12
ow_um1L_Ant_phys,um1L_Ant,212,ow_vulC_phys,vulC,223,um1L_Ant||vulC,0.8566459999999999,1
